index name x y z l
328 EElayerCell_03.0062.2 2.90985 -1.68 16.7675 3
329 EElayerCell_03.0063.2 -2.90985 1.68 16.7675 3
330 EElayerCell_03.0064.2 -2.90985 -1.68 16.7675 3
331 EElayerCell_03.0065.2 2.90985 2.8 16.7675 3
332 EElayerCell_03.0066.2 2.90985 -2.8 16.7675 3
333 EElayerCell_03.0067.2 -2.90985 2.8 16.7675 3
334 EElayerCell_03.0068.2 -2.90985 -2.8 16.7675 3
335 EElayerCell_03.0069.2 2.90985 3.92 16.7675 3
336 EElayerCell_03.0070.2 2.90985 -3.92 16.7675 3
337 EElayerCell_03.0071.2 -2.90985 3.92 16.7675 3
338 EElayerCell_03.0072.2 -2.90985 -3.92 16.7675 3
339 EElayerCell_03.0073.2 2.90985 5.04 16.7675 3
340 EElayerCell_03.0074.2 2.90985 -5.04 16.7675 3
341 EElayerCell_03.0075.2 -2.90985 5.04 16.7675 3
342 EElayerCell_03.0076.2 -2.90985 -5.04 16.7675 3
343 EElayerCell_03.0077.2 2.90985 6.16 16.7675 3
344 EElayerCell_03.0078.2 2.90985 -6.16 16.7675 3
345 EElayerCell_03.0079.2 -2.90985 6.16 16.7675 3
346 EElayerCell_03.0080.2 -2.90985 -6.16 16.7675 3
347 EElayerCell_03.0081.2 3.87979 0 16.7675 3
348 EElayerCell_03.0082.2 -3.87979 0 16.7675 3
349 EElayerCell_03.0083.2 3.87979 1.12 16.7675 3
350 EElayerCell_03.0084.2 3.87979 -1.12 16.7675 3
351 EElayerCell_03.0085.2 -3.87979 1.12 16.7675 3
352 EElayerCell_03.0086.2 -3.87979 -1.12 16.7675 3
353 EElayerCell_03.0087.2 3.87979 2.24 16.7675 3
354 EElayerCell_03.0088.2 3.87979 -2.24 16.7675 3
355 EElayerCell_03.0089.2 -3.87979 2.24 16.7675 3
356 EElayerCell_03.0090.2 -3.87979 -2.24 16.7675 3
357 EElayerCell_03.0091.2 3.87979 3.36 16.7675 3
358 EElayerCell_03.0092.2 3.87979 -3.36 16.7675 3
359 EElayerCell_03.0093.2 -3.87979 3.36 16.7675 3
360 EElayerCell_03.0094.2 -3.87979 -3.36 16.7675 3
361 EElayerCell_03.0095.2 3.87979 4.48 16.7675 3
362 EElayerCell_03.0096.2 3.87979 -4.48 16.7675 3
363 EElayerCell_03.0097.2 -3.87979 4.48 16.7675 3
364 EElayerCell_03.0098.2 -3.87979 -4.48 16.7675 3
365 EElayerCell_03.0099.2 3.87979 5.6 16.7675 3
366 EElayerCell_03.0100.2 3.87979 -5.6 16.7675 3
367 EElayerCell_03.0101.2 -3.87979 5.6 16.7675 3
368 EElayerCell_03.0102.2 -3.87979 -5.6 16.7675 3
369 EElayerCell_03.0103.2 4.84974 0.56 16.7675 3
370 EElayerCell_03.0104.2 4.84974 -0.56 16.7675 3
371 EElayerCell_03.0105.2 -4.84974 0.56 16.7675 3
372 EElayerCell_03.0106.2 -4.84974 -0.56 16.7675 3
373 EElayerCell_03.0107.2 4.84974 1.68 16.7675 3
374 EElayerCell_03.0108.2 4.84974 -1.68 16.7675 3
375 EElayerCell_03.0109.2 -4.84974 1.68 16.7675 3
376 EElayerCell_03.0110.2 -4.84974 -1.68 16.7675 3
377 EElayerCell_03.0111.2 4.84974 2.8 16.7675 3
378 EElayerCell_03.0112.2 4.84974 -2.8 16.7675 3
379 EElayerCell_03.0113.2 -4.84974 2.8 16.7675 3
380 EElayerCell_03.0114.2 -4.84974 -2.8 16.7675 3
381 EElayerCell_03.0115.2 4.84974 3.92 16.7675 3
382 EElayerCell_03.0116.2 4.84974 -3.92 16.7675 3
383 EElayerCell_03.0117.2 -4.84974 3.92 16.7675 3
384 EElayerCell_03.0118.2 -4.84974 -3.92 16.7675 3
385 EElayerCell_03.0119.2 5.81969 0 16.7675 3
386 EElayerCell_03.0120.2 -5.81969 0 16.7675 3
387 EElayerCell_03.0121.2 5.81969 1.12 16.7675 3
388 EElayerCell_03.0122.2 5.81969 -1.12 16.7675 3
389 EElayerCell_03.0123.2 -5.81969 1.12 16.7675 3
390 EElayerCell_03.0124.2 -5.81969 -1.12 16.7675 3
391 EElayerCell_03.0125.2 5.81969 2.24 16.7675 3
392 EElayerCell_03.0126.2 5.81969 -2.24 16.7675 3
393 EElayerCell_03.0127.2 -5.81969 2.24 16.7675 3
394 EElayerCell_03.0128.2 -5.81969 -2.24 16.7675 3
395 EElayerCell_03.0129.2 6.78964 0.56 16.7675 3
396 EElayerCell_03.0130.2 6.78964 -0.56 16.7675 3
397 EElayerCell_03.0131.2 -6.78964 0.56 16.7675 3
398 EElayerCell_03.0132.2 -6.78964 -0.56 16.7675 3
399 EElayerCell_04.0000.2 0 0 17.6575 4
